Legislative Info Spec I,22.96,42,22.96,42,22.96,42,100%
Licenses&Standards Inspector,31.89,91.86,33.32,194.45,32.76,154.56,95.72%
Lifeguard,16.61,8,16.39,28,16.48,19.43,101.34%
"Lifeguard,Sr",19.5,51.67,19.46,64.78,19.48,57.29,100.21%
Line C CC,47.67,174,47.67,114.03,47.67,115.91,100%
Line CC-Asg C Coord,47.67,29,47.67,59.8,47.67,54.67,100%
Lnwkr,42.37,94.17,42.37,80.09,42.37,80.79,100%
Lnwkr Aprn,35.17,20,35.24,28.18,35.24,27.72,99.80%
Mach Spec,27.51,307,26.78,53.67,26.97,117,102.71%
Magistrate,52.25,152.5,51.27,102,51.6,118.83,101.91%
Maint Laborer,23.38,98.31,23.38,79.94,23.38,83.22,100%
"Maint Laborer,Sr-Traffic",25.04,129.33,25.04,78.43,25.04,93.7,100%
"Manager1,CL&PS",40.71,46.67,47.3,74,42.36,53.5,86.07%
"Manager1,Exempt",47.33,147,34.55,15,40.94,81,136.97%
"Manager1,Fin,Bud,&Actg",43.38,68.5,43.56,46,43.43,62.36,99.59%
"Manager1,General Govt",43.02,57.43,37.62,39.5,41.82,53.44,114.34%
"Manager1,Human Svcs",38.55,9,39.82,49.5,39.19,29.25,96.79%
"Manager1,P&FM",40.2,121,42.24,91.67,41.73,99,95.17%
"Manager1,Parks&Rec",42.14,58,39.19,46,40.66,52,107.55%
"Manager1,Utils-BU",41.37,63,47.39,0,44.38,31.5,87.29%
"Manager2,CL&PS",45.03,142.5,47.28,132,45.78,139,95.25%
"Manager2,CSPI&P",45.93,81,46.85,76.75,46.39,78.88,98.04%
"Manager2,Engrng&Plans Rev",51.07,69.75,50.27,69.85,50.46,69.82,101.58%
"Manager2,Exempt",49.22,51.33,47.45,67.33,48.33,59.33,103.73%
"Manager2,Fin,Bud,&Actg",48.59,64.2,49.86,49.25,48.95,59.93,97.44%
"Manager2,Fin,Bud,&Actg-BU",45.03,108,49.24,130.5,47.84,123,91.46%
"Manager2,General Govt",50.15,91.11,50.3,52.71,50.22,74.31,99.70%
"Manager2,Human Svcs",43.39,60.71,46.42,80.5,44.06,65.11,93.46%
"Manager2,Info Technol",47.66,69,51.48,111,49.95,94.2,92.57%
"Manager2,P&FM",49.12,43.67,50.19,27.67,49.66,35.67,97.88%
"Manager2,Parks&Rec",47.68,123,47.5,115,47.62,120.33,100.38%
"Manager2,Utils",52.14,71.78,51.35,88.25,51.69,81.19,101.54%
"Manager2,Utils-BU",51.33,60,49.16,33.2,49.78,40.86,104.41%
"Manager3,CSPI&P",51.56,39,50.07,122,50.81,80.5,102.98%
"Manager3,Engrng&Plans Rev",55.58,111.89,56.67,77.29,56.34,87.67,98.06%
"Manager3,Engrng&Plans Rev-BU",60.56,74,59.78,47.67,59.98,54.25,101.30%
"Manager3,Exempt",52.21,19.5,53.8,29.17,53.17,25.3,97.05%
"Manager3,Fin,Bud,&Actg",52.7,68.5,52.7,37,52.7,55,99.99%
"Manager3,General Govt",56.25,38.5,53.63,25,55.38,34,104.88%
"Manager3,Info Technol",57.86,72.75,59.36,101.67,58.5,85.14,97.47%
"Manager3,Utils-BU",58.24,38.5,57.91,66.89,58.01,58.15,100.57%
"Mat Controller,Sr-BU",30.16,8,30.16,8,30.16,8,100%
Mat Suplr-Asg Leo/Pdm/Hb,34.13,89,36.09,78.64,35.93,79.5,94.57%
"Mat Suplr,Elec-Asg Equip Cust",38.2,63,38.2,25,38.2,44,100%
"Mat Suplr,Elec-Asg Phd/Cw/D",33.96,1,33.96,71.25,33.96,57.2,100%
Mayoral Staff Asst 1,22.73,2.5,22.74,8,22.73,5.25,99.93%
Mayoral Staff Asst 2,30.07,36.63,28.6,39.67,29.67,37.45,105.14%
"Mech Plans Engr,Sr",50.07,43,44.8,7,47.44,25,111.76%
Metal Fabricator,32.54,244,32.54,175.33,32.54,185.14,100%
Meter Elctn,41.14,45.67,41.14,46.05,41.14,46,100%
Meter Elctn Working CC,46.28,23,46.28,43.71,46.28,41.13,100%
Meter Reader,22.86,130.92,23,125.32,22.97,126.58,99.38%
"Meter Reader,Sr",27.31,151.5,26.72,91.29,26.85,104.67,102.20%
Mgmt Systs Anlyst,35.4,63,34.27,40.78,35.09,56.94,103.29%
Mgmt Systs Anlyst Supv,47.26,73.5,45.58,63.5,46.42,68.5,103.67%
"Mgmt Systs Anlyst,Asst",31.23,51.31,31.28,50,31.24,50.94,99.84%
"Mgmt Systs Anlyst,Sr",41.79,57.7,41.81,67.04,41.8,61.29,99.96%
Muni Judge,64.48,191,64.48,88.25,64.48,132.29,100%
Naturalist,26.28,70,27.78,142,26.78,94,94.58%
Neighb District Coord,37.7,90,37.7,116.67,37.7,107.78,100%
Ofc/Maint Aide,14.45,109.21,14.75,79.51,14.65,89.59,97.93%
OPA Review Board Member,5.11,19,5.11,30.33,5.11,25.8,100%
Opns Response Cntr Op,29.44,47.75,29.61,58,29.51,52.14,99.43%
Paralegal,30.71,67.62,30.91,87,30.75,72.18,99.35%
Paralegal Asst II,26.45,130.33,26.79,195,26.53,146.5,98.73%
Park Ranger,23.42,47,23.88,49,23.73,48.33,98.07%
Parking Enf Ofcr,24.53,123.5,24.51,85.78,24.52,103.74,100.07%
Parking Enf Ofcr Supv,29.64,28.67,30.27,58.56,30.11,51.08,97.93%
Parks Maint CC,36.05,20,36.05,21,36.05,20.43,100%
"Parks Special Events Schdlr,Sr",25.28,11,28.35,16,27.33,14.33,89.17%
Parks Special Events Schedlr,26.26,135.2,26.26,75,26.26,125.17,100%
Payroll Supv,37.7,142,37.7,16,37.7,116.8,100%
Permit Process Leader,42.6,34,44.74,101,43.67,67.5,95.22%
Permit Spec I,31.61,46.75,31.59,44.33,31.6,46.27,100.05%
Permit Spec II,31.84,0,31.97,29.2,31.91,16.22,99.59%
Permit Tech,26.99,40.67,28.35,81,27.33,50.75,95.20%
"Personnel Anlyst,Sr-Comp",39.97,16.5,42.25,54.5,41.11,35.5,94.60%
Personnel Spec,32.39,73.72,33.69,87.4,32.68,76.7,96.15%
"Personnel Spec,Asst",26.08,65.73,25.82,51,26.02,62.57,101%
"Personnel Spec,Sr",35.45,60.75,36.3,79.4,35.62,64.48,97.66%
Plng&Dev Spec I,34.17,88.25,34.94,155,34.32,101.6,97.78%
Plng&Dev Spec II,37.54,104.58,37.21,96.64,37.45,102.59,100.88%
"Plng&Dev Spec,Sr",41.6,56.7,42.32,64.39,41.95,60.41,98.29%
"Plng&Dev Spec,Supvsng",45.74,58,46.41,44,45.99,52.75,98.56%
Plnt Ecologist,33.09,35,31.82,34.5,32.24,34.67,103.99%
"Plumber,Sr",36.9,127,36.9,136.5,36.9,133.33,100%
Pmp Stat Maint Leadwkr,28.1,120,28.1,125.33,28.1,124,100%
Pmp Stat Maint Wkr CI,25.54,31,25.54,11,25.54,21,100%
Pntr,30.28,284,30.28,153,30.28,163.92,100%
